destination,year,attacks
ABW,2013.42,0
ABW,2013.5,0
ABW,2013.58,0
ABW,2013.67,0
ABW,2013.75,0
ABW,2013.83,0
ABW,2013.92,12
ABW,2014,0
ABW,2014.08,0
ABW,2014.17,0
ABW,2014.25,0
ABW,2014.33,0
ABW,2014.42,0
ABW,2014.5,0
ABW,2014.58,0
ABW,2014.67,0
ABW,2014.75,0
ABW,2014.83,0
ABW,2014.92,0
ABW,2015,0
ABW,2015.08,0
ABW,2015.17,0
ABW,2015.25,14
ABW,2015.33,0
ABW,2015.42,0
ABW,2015.5,0
ABW,2015.58,0
ABW,2015.67,1
ABW,2015.75,1
ABW,2015.83,0
ABW,2015.92,0
ABW,2016,0
AGO,2013.42,0
AGO,2013.5,0
AGO,2013.58,0
AGO,2013.67,0
AGO,2013.75,0
AGO,2013.83,0
AGO,2013.92,0
AGO,2014,0
AGO,2014.08,0
AGO,2014.17,0
AGO,2014.25,0
AGO,2014.33,0
AGO,2014.42,0
AGO,2014.5,0
AGO,2014.58,0
AGO,2014.67,0
AGO,2014.75,0
AGO,2014.83,0
AGO,2014.92,0
AGO,2015,0
AGO,2015.08,0
AGO,2015.17,0
AGO,2015.25,20
AGO,2015.33,0
AGO,2015.42,29
AGO,2015.5,0
AGO,2015.58,0
AGO,2015.67,110
AGO,2015.75,0
AGO,2015.83,0
AGO,2015.92,0
AGO,2016,0
ALB,2013.42,0
ALB,2013.5,4
ALB,2013.58,0
ALB,2013.67,0
ALB,2013.75,0
ALB,2013.83,12
ALB,2013.92,272
ALB,2014,66
ALB,2014.08,30
ALB,2014.17,6
ALB,2014.25,464
ALB,2014.33,128
ALB,2014.42,48
ALB,2014.5,114
ALB,2014.58,262
ALB,2014.67,182
ALB,2014.75,94
ALB,2014.83,82
ALB,2014.92,128
ALB,2015,95
ALB,2015.08,17
ALB,2015.17,0
ALB,2015.25,0
ALB,2015.33,0
ALB,2015.42,0
ALB,2015.5,0
ALB,2015.58,0
ALB,2015.67,223
ALB,2015.75,0
ALB,2015.83,0
ALB,2015.92,0
ALB,2016,0
AND,2013.42,0
AND,2013.5,0
AND,2013.58,0
AND,2013.67,0
AND,2013.75,0
AND,2013.83,0
AND,2013.92,0
AND,2014,34
AND,2014.08,16
AND,2014.17,16
AND,2014.25,0
AND,2014.33,0
AND,2014.42,0
AND,2014.5,0
AND,2014.58,0
AND,2014.67,0
AND,2014.75,2
AND,2014.83,4
AND,2014.92,6
AND,2015,6
AND,2015.08,9
AND,2015.17,6
AND,2015.25,0
AND,2015.33,0
AND,2015.42,2
AND,2015.5,0
AND,2015.58,0
AND,2015.67,11
AND,2015.75,0
AND,2015.83,0
AND,2015.92,0
AND,2016,0
ARE,2013.42,70
ARE,2013.5,238
ARE,2013.58,26
ARE,2013.67,140
ARE,2013.75,104
ARE,2013.83,8
ARE,2013.92,12
ARE,2014,20
ARE,2014.08,58
ARE,2014.17,6
ARE,2014.25,20
ARE,2014.33,0
ARE,2014.42,54
ARE,2014.5,226
ARE,2014.58,246
ARE,2014.67,68
ARE,2014.75,34
ARE,2014.83,94
ARE,2014.92,36
ARE,2015,32
ARE,2015.08,5
ARE,2015.17,107
ARE,2015.25,391
ARE,2015.33,3
ARE,2015.42,9
ARE,2015.5,59
ARE,2015.58,20
ARE,2015.67,21
ARE,2015.75,0
ARE,2015.83,0
ARE,2015.92,637
ARE,2016,464
ARG,2013.42,0
ARG,2013.5,0
ARG,2013.58,0
ARG,2013.67,0
ARG,2013.75,0
ARG,2013.83,2
ARG,2013.92,0
ARG,2014,132
ARG,2014.08,20
ARG,2014.17,0
ARG,2014.25,0
ARG,2014.33,8
ARG,2014.42,12
ARG,2014.5,6
ARG,2014.58,22
ARG,2014.67,20
ARG,2014.75,122
ARG,2014.83,238
ARG,2014.92,208
ARG,2015,36
ARG,2015.08,49
ARG,2015.17,35
ARG,2015.25,26
ARG,2015.33,12
ARG,2015.42,379
ARG,2015.5,206
ARG,2015.58,405
ARG,2015.67,65
ARG,2015.75,282
ARG,2015.83,1486
ARG,2015.92,1891
ARG,2016,1438
ARM,2013.42,0
ARM,2013.5,0
ARM,2013.58,0
ARM,2013.67,0
ARM,2013.75,0
ARM,2013.83,82
ARM,2013.92,8
ARM,2014,0
ARM,2014.08,0
ARM,2014.17,30
ARM,2014.25,160
ARM,2014.33,0
ARM,2014.42,0
ARM,2014.5,0
ARM,2014.58,74
ARM,2014.67,0
ARM,2014.75,58
ARM,2014.83,10
ARM,2014.92,0
ARM,2015,0
ARM,2015.08,0
ARM,2015.17,6
ARM,2015.25,5
ARM,2015.33,4
ARM,2015.42,0
ARM,2015.5,0
ARM,2015.58,0
ARM,2015.67,0
ARM,2015.75,0
ARM,2015.83,0
ARM,2015.92,0
ARM,2016,0
ATG,2013.42,0
ATG,2013.5,0
ATG,2013.58,0
ATG,2013.67,0
ATG,2013.75,78
ATG,2013.83,0
ATG,2013.92,0
ATG,2014,12
ATG,2014.08,0
ATG,2014.17,0
ATG,2014.25,0
ATG,2014.33,0
ATG,2014.42,0
ATG,2014.5,0
ATG,2014.58,0
ATG,2014.67,0
ATG,2014.75,0
ATG,2014.83,0
ATG,2014.92,0
ATG,2015,0
ATG,2015.08,0
ATG,2015.17,0
ATG,2015.25,0
ATG,2015.33,0
ATG,2015.42,7
ATG,2015.5,30
ATG,2015.58,0
ATG,2015.67,0
ATG,2015.75,0
ATG,2015.83,0
ATG,2015.92,0
ATG,2016,0
AUS,2013.42,26
AUS,2013.5,14
AUS,2013.58,0
AUS,2013.67,4
AUS,2013.75,22
AUS,2013.83,20
AUS,2013.92,26
AUS,2014,60
AUS,2014.08,244
AUS,2014.17,144
AUS,2014.25,230
AUS,2014.33,30
AUS,2014.42,24
AUS,2014.5,104
AUS,2014.58,190
AUS,2014.67,808
AUS,2014.75,402
AUS,2014.83,144
AUS,2014.92,94
AUS,2015,92
AUS,2015.08,80
AUS,2015.17,90
AUS,2015.25,163
AUS,2015.33,113
AUS,2015.42,339
AUS,2015.5,107
AUS,2015.58,70
AUS,2015.67,266
AUS,2015.75,731
AUS,2015.83,80
AUS,2015.92,135
AUS,2016,414
AUT,2013.42,262
AUT,2013.5,26
AUT,2013.58,190
AUT,2013.67,12
AUT,2013.75,106
AUT,2013.83,112
AUT,2013.92,88
AUT,2014,16
AUT,2014.08,276
AUT,2014.17,104
AUT,2014.25,4
AUT,2014.33,18
