destination;gdp;democracy_score
AFG;2025;
ALB;9660;9
DZA;13494;2
AND;;
AGO;8508;-2
ATG;;
AZE;17133;-7
ARG;19873;8
AUS;47250;10
AUT;41375;10
BHS;;
BHR;38493;-10
BGD;3057;4
ARM;9385;5
BRB;11809;
BEL;37737;8
BTN;;5
BOL;5789;7
BIH;9093;
BWA;14853;8
BRA;15306;8
BLZ;;
SLB;;8
BRN;;
BGR;15420;9
MMR;4424;-3
BDI;738;6
BLR;18464;-7
KHM;2782;2
CMR;2612;-4
CAN;42994;10
CPV;6234;10
CAF;567;0
LKA;9928;3
TCD;1888;-2
CHL;21135;10
CHN;11328;-7
TWN;39971;10
COL;12568;7
COM;1619;9
COG;6031;-4
COD;751;5
CRI;12916;10
HRV;19298;9
CUB;7379;-7
CYP;24519;10
CSK;;
CZE;26338;9
BEN;1939;7
DNK;43733;10
DMA;9145;
DOM;12251;8
ECU;10760;5
SLV;7845;8
GNQ;43209;-6
ETH;;
ETH;1365;-3
ERI;;-7
EST;23436;9
FJI;;-4
FIN;37246;10
FRA;36632;9
DJI;2724;3
GAB;17532;3
GEO;9829;7
GMB;1767;-5
DEU;43413;10
DDR;;
DEU;;
GHA;3683;8
KIR;;
GRC;22118;10
GRD;;
GTM;6829;8
GIN;1421;4
GUY;;6
HTI;1722;0
HND;4561;7
HUN;21126;10
ISL;38258;
IND;5172;9
IDN;9703;8
IRN;16248;-7
IRQ;13158;3
IRL;48743;10
ISR;30257;6
ITA;33094;10
CIV;2823;4
JAM;7017;9
JPN;36354;10
KAZ;23131;-6
JOR;11488;-3
KEN;2854;9
PRK;1781.3008;-10
KOR;33588;8
KWT;75256;-7
KGZ;4509;7
LAO;4961;-7
LBN;15055;6
LSO;2559;8
LVA;20129;8
LBR;900;6
LBY;13326;0
LIE;;
LTU;22274;10
LUX;53411;10
MDG;1345;3
MWI;1104;6
MYS;20760;6
MDV;;
MLI;1443;5
MLT;25162;
MRT;3319;-2
MUS;17311;10
MEX;15680;8
MCO;;
MNG;11545;10
MDA;5421;9
MNE;16064;9
MAR;7619;-4
MOZ;1011;5
OMN;41680;-8
NAM;8793;6
NRU;;
NPL;2316;6
NLD;43744;10
VUT;;
NZL;32989;10
NIC;4527;9
NER;880;6
NGA;5370;4
NOR;81583;10
FSM;;
MHL;;
PLW;;
PAK;4703;7
PAN;18979;9
PNG;;5
PRY;8102;9
PER;11034;9
PHL;6472;8
POL;22510;10
PRT;24076;10
GNB;1378;1
TLS;;8
QAT;154159;-10
ROU;17979;9
RUS;24224;4
RWA;1554;-3
KNA;;
LCA;10037;
VCT;;
SMR;;
STP;3314;
SAU;50005;-10
SEN;2185;7
SRB;12764;8
SYC;23036;
SLE;1965;7
SGP;64633;-2
SVK;23132;10
VNM;5200;-7
SVN;24944;10
SOM;;5
ZAF;12171;9
ZWE;1604;4
YMD;;
ESP;30280;10
SSD;;0
SDN;3451;-4
SDN;;
SUR;;5
SWZ;7805;-9
SWE;41811;10
CHE;59036;10
SYR;4124;-9
TJK;3471;-3
THA;14562;7
TGO;1292;-2
TON;;
TTO;30987;10
ARE;70791;-8
TUN;10898;6
TUR;18788;9
TKM;19751;-8
TUV;;
UGA;1889;-1
UKR;10404;6
MKD;11544;9
SUN;;
EGY;10775;-4
GBR;35618;10
TZA;2372;-1
USA;50863;10
BFA;1422;0
URY;18589;10
UZB;8482;-9
VEN;21429;4
WSM;;
YEM;;
YEM;4165;3
YUG;;
SCG;;
ZMB;3419;7
FRA;;
MYS;;
CYP;;
XTI;;
PAK;;
VNM;;
VDR;;
