year,critical_industry,size,digital,sector,country,policy,no_encryption,detected_by,paid,type,size_bin,id,capitalization,internet_sales,internet_sales_share,ransom,pay
2016,No,Small,Medium-High,"Wholesale, retail trade and repair",Canada,Yes,No,Public,No,Unknown attack on website,0,1,64,165,40.3,9.87,Refuse
2017,Yes,Medium,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Ransomware,1,2,203,110,26.92,8.51,Refuse
2014,No,Small,High,Other service activities,USA,Yes,Yes,Public,No,Unknown,0,3,108,48,11.78,4.25,Refuse
2012,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen with no encryption,2,4,305,274,67.06,22.83,Pay
2016,Yes,Small,Medium-High,"Computer, electronic and optical products",USA,Yes,Yes,Public,No,Unknown attack on website,0,5,133,103,25.24,8.52,Refuse
2018,No,Small,Low-Medium,"Textiles, wearing apparel and leather",Global,Yes,Yes,Organisation,No,Website was hacked,0,6,30,66,16.1,1.22,Refuse
2013,Yes,Small,Medium-High,Public administration and defence,USA,Yes,Yes,Organisation,No,Unknown,0,7,113,89,21.72,7.75,Refuse
2013,Yes,Small,High,IT and other information services,Global,Yes,Yes,Organisation,No,Found a backup server and raided,0,8,115,90,21.92,3.31,Refuse
2008,Yes,Medium,Medium-High,Machine equipment,USA,Yes,,Organisation,No,Network intrusion,1,9,179,126,30.85,10.41,Refuse
2015,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Public,No,Malware installed,1,10,201,89,21.69,6.12,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Public,No,Malware installed,0,11,83,110,26.86,5.79,Refuse
2013,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Computers stolen,0,12,84,66,16.23,5.17,Refuse
2009,No,Small,High,Finance and insurance,USA,Yes,Yes,,No,Job application website was hacked.,0,13,83,17,4.23,1.7,Refuse
2014,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Public,No,Malware installed,0,14,73,97,23.78,3.05,Refuse
2008,Yes,Small,Low-Medium,Chemicals and chemical products,USA,Yes,Yes,Organisation,No,Laptop stolen,0,15,86,78,19,5.34,Refuse
2017,Yes,Medium,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Unknown,1,16,181,153,37.54,12.22,Refuse
2019,Yes,Small,Low-Medium,Human health activities,USA,No,Yes,Organisation,No,Unknown incident enabled through access to employee account,0,17,70,106,26.03,4.65,Refuse
2014,No,Small,High,Advertising and other business services,USA,Yes,Yes,Organisation,No,Virus installed,0,18,77,75,18.25,2.89,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Malware installed,0,19,102,124,30.31,8.28,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Virus was installed,0,20,129,101,24.7,8,Refuse
2014,Yes,Small,Low,Accommodation and food service activities,USA,Yes,,Organisation,No,Vendor vulnerability through third party services,0,21,97,118,28.92,4.74,Refuse
2017,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,,Organisation,No,Code was injected into the website,1,22,181,171,41.99,12.81,Refuse
2017,No,Large,High,Public administration and defence,USA,Yes,,Organisation,No,Attacker created an account and exploited a vulnerability in the code,2,23,283,275,67.35,22.73,Refuse
2013,Yes,Small,High,Finance and insurance,USA,Yes,,Organisation,No,Third party vulnerability,0,24,85,70,17.18,2.44,Refuse
2010,Yes,Small,Medium-High,Machine equipment,USA,Yes,Yes,Organisation,No,Database was hacked. Managed by third party,0,25,73,94,22.93,2.85,Refuse
2014,No,Medium,Medium-High,"Arts, entertainment and recreation",USA,Yes,,Organisation,No,Unknown attack involving vendor,1,26,194,158,38.6,13.37,Refuse
2012,No,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Phishing attack,0,27,75,110,27.01,6.49,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Ransomware,2,28,316,245,59.92,20.5,Pay
2011,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unknown,2,29,289,251,61.55,19.08,Refuse
2016,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Ransomware,2,30,245,272,66.52,21.94,Refuse
2015,No,Small,High,Finance and insurance,Global,Yes,Yes,,No,Attack on server,0,31,172,97,23.83,7.53,Refuse
2014,Yes,Small,High,IT and other information services,USA,Yes,Yes,Organisation,No,Hack exposing customer data,0,32,104,150,36.64,9.39,Refuse
2004,Yes,Small,High,IT and other information services,USA,Yes,Yes,Public,No,Had access to credit card types but not numbers. Gained access to warehouse but there was segmentation but the attacker gained access to another's code,0,33,85,41,10.07,2.07,Refuse
2014,Yes,Small,High,IT and other information services,USA,Yes,Yes,Organisation,No,iCloud accounts hacked through insufficient password security mechanisms,0,34,87,123,30.04,4.89,Refuse
2012,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,35,114,100,24.59,8.52,Refuse
2017,Yes,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Credit card/bank,No,Malware installed on PoS,0,36,79,128,31.43,8.65,Refuse
2017,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,1,37,215,187,45.76,13.01,Refuse
2007,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Credit card data hacked,0,38,57,97,23.76,5.65,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Phishing attack,0,39,117,18,4.36,2.09,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,2,40,301,193,47.37,15.03,Pay
2013,No,Small,Low-Medium,Residential care and social work activities,USA,Yes,No,Organisation,No,Access was gained through vendor credentials,0,41,69,113,27.57,8.06,Refuse
2010,Yes,Small,High,Telecommunications,USA,Yes,No,Organisation,No,Attacker accessed user data by modifying a URL for a public API,0,42,100,93,22.88,6.69,Refuse
2015,Yes,Small,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Staff accessed sensitive customer data without authorisation,0,43,72,70,17.22,5.45,Refuse
2016,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Remote access into the network was gained,2,44,246,301,73.71,21.67,Refuse
2015,No,Medium,High,Legal and accounting activities,USA,Yes,Yes,Organisation,No,Laptop stolen,1,45,194,168,41.01,12.5,Refuse
2016,No,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,Malware installed on PoS,0,46,133,80,19.66,3.72,Refuse
2016,No,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Credit card/bank,No,Malware installed on PoS,0,47,86,102,24.89,5.5,Refuse
2017,No,Large,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Third party managed website that had an intrusion.,2,48,336,263,64.51,21.42,Pay
2017,Yes,Small,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Phishing attack,0,49,79,174,42.5,8.82,Refuse
2013,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Server was attacked,0,50,85,106,25.87,3.67,Refuse
2012,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Malware installed,0,51,51,71,17.29,1.91,Refuse
2018,No,Small,Low-Medium,Education,Australia,Yes,No,Organisation,No,Spear phishing,0,52,65,157,38.47,10.43,Refuse
2017,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Vendor's e-commerce web platform was compromised,1,53,206,132,32.42,11.72,Refuse
2014,Yes,Small,Medium-High,Machine equipment,USA,Yes,Yes,Organisation,No,Third party responsible for PoS on website was hacked,0,54,35,87,21.26,4.9,Refuse
2014,Yes,Small,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Business associate employee accessed data,0,55,60,75,18.39,5.14,Refuse
2009,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptops stolen,0,56,91,63,15.32,6.07,Refuse
2018,No,Small,High,Finance and insurance,Singapore,Yes,Yes,Organisation,No,Unknown,0,57,86,80,19.54,3.01,Refuse
2014,No,Large,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Malware installed,2,58,227,277,67.93,17.7,Refuse
2016,No,Large,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Unknown attack on website,2,59,294,242,59.14,18.4,Refuse
2005,Yes,Small,High,Finance and insurance,USA,,,,No,Targeted other banks as well. Attackers managed to gain access by pretending to be debt collection agency as well.,0,60,143,158,38.7,11.16,Refuse
2009,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Credit card data hacked,0,61,68,127,31.15,8.91,Refuse
2018,Yes,Small,High,Finance and insurance,Canada,Yes,Yes,Organisation,No,Unknown,0,62,74,122,29.9,8.01,Refuse
2018,Yes,Medium,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Unknown,1,63,229,193,47.36,15.76,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Payment system hacked,0,64,92,104,25.56,6.77,Refuse
2015,No,Large,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Public,No,Website was compromised and malware was installed taking data,2,65,318,156,38.22,12.88,Pay
2012,No,Small,Medium-High,"Publishing, audiovisual and broadcasting",USA,Yes,Yes,Organisation,No,Malware installed on PoS,0,66,70,108,26.57,8.26,Refuse
2013,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Malware installed,2,67,239,287,70.38,21.91,Refuse
2014,No,Small,Low,Accommodation and food service activities,USA,Yes,,Organisation,No,Payment system hacked,0,68,71,118,28.81,5.9,Refuse
2013,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,,Organisation,No,Malware installed on PoS,0,69,67,106,26.07,6.13,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Phishing attack,0,70,62,105,25.62,6.31,Refuse
2015,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Phishing attack,0,71,84,129,31.49,7.9,Refuse
2017,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Website was hacked,1,72,191,163,39.99,12.11,Refuse
2014,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Payment system hacked,0,73,85,95,23.27,3.96,Refuse
2017,Yes,Small,High,Telecommunications,Canada,Yes,Yes,Organisation,No,Unknown,0,74,46,108,26.36,5.85,Refuse
2013,Yes,Small,Medium-High,Machine equipment,USA,Yes,,Organisation,No,Unknown,0,75,83,73,17.89,3.99,Refuse
2010,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,,Organisation,No,Unknown,0,76,67,148,36.12,9.28,Refuse
2016,No,Medium,Medium-High,"Arts, entertainment and recreation",USA,Yes,,Organisation,No,Unknown,1,77,197,167,40.97,9.76,Refuse
2015,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,,Organisation,No,Website was hacked and payment data was accessed,0,78,70,142,34.72,7.41,Refuse
2018,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,,Organisation,No,Unknown attack on website,1,79,215,122,29.96,8.79,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Employee email account was hacked giving access to data,0,80,95,46,11.17,1.45,Refuse
2016,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Organisation,No,Email campaign targeting employees,0,81,117,94,22.9,5.15,Refuse
2018,Yes,Small,Low-Medium,Pharmaceutical products,USA,Yes,Yes,Organisation,No,Email accounts compromised,0,82,149,116,28.53,8.75,Refuse
2017,Yes,Small,Low-Medium,Chemicals and chemical products,USA,Yes,Yes,Organisation,No,Employee data accessed,0,83,77,114,28.03,8.39,Refuse
