target	type	state	attack_type_messy	date_messy	url	year_clean
"
Madison County Jail, Madison County
"	Safety	Alabama	"
Hacking, Other
"	"
March 11th, 2021
"	https://gcn.com/articles/2021/03/11/surveillance-video-hack.aspx	2021
"
Alabama Fusion Center, State of Alabama
"	Safety	Alabama	"
Hacking, Data Breach
"	"
June 22nd, 2020
"	https://thehackernews.com/2020/06/law-enforcement-data-breach.html	2020
" 
Selma Police Department, Selma Fire Department, & City of Selma - Dallas County 
 "	Safety	Alabama	"
Unknown, Ransomware 
 "	" 
September 3rd, 2019 
 "	https://www.selmatimesjournal.com/2019/09/03/city-computer-system-crippled-by-cyber-attack/	2019
Dale County Sheriff’s Office, Dale County	Safety	Alabama	Hacking, Data Breach	October 8th, 2018	https://www.dothanfirst.com/news/dale-county-sheriff-s-office-computer-network-compromised-public-should-monitor-financial-accounts/1508577220	2018
City of Leeds	Safety	Alabama	Ransomware	March 1st, 2018	http://www.al.com/news/index.ssf/2018/03/leeds_hit_with_ransomware_atta.html	2018
Collinsville Police Department Hit by Ransomware Trojan	Safety	Alabama	Ransomware	June 24th, 2014	http://news.softpedia.com/news/Collinsville-Police-Department-Hit-by-Ransomware-Trojan-448061.shtml	2014
Mobile County Hit by Cyber Attack 	Government	Alabama	"
Unknown, Ransomware
"	"
June 2nd, 2021
"	https://www.fox10tv.com/news/mobile_county/social-security-numbers-compromised-in-malware-attack-mobile-county-acknowledges/article_4c54bae2-ebe3-11eb-a3fb-af1d2dcf2259.html?block_id=1002168/	2021
"
St. Clair County Government, St. Clair County
"	Government	Alabama	"
Unknown, Malware
"	"
September 23rd, 2020
"	https://www.wbrc.com/2020/09/22/st-clair-county-is-latest-victim-cyber-attack/	2020
"
Chilton County Records, Chilton County
"	Government	Alabama	"
Unknown, Ransomware
"	"
July 7th, 2020
"	https://www.cbs42.com/news/local/chilton-county-records-system-affected-by-ransomware-attack/	2020
"
City of Florence, Lauderdale County
"	Government	Alabama	"
Phishing, Ransomware
"	"
June 8th, 2020
"	https://www.waff.com/2020/06/08/florence-city-computer-systems-hit-by-cyber-attack/	2020
"
Tallapoosa County Probate Court, Tallapoosa County
"	Government	Alabama	"
Unknown, Ransomware
"	"
June 19th, 2020
"	https://www.alexcityoutlook.com/news/tallapoosa-county-recovers-from-ransomware-attack/article_11c1983e-b23a-11ea-a31f-c353b4adbb67.html	2020
"
City of Florence, Lauderdale County
"	Government	Alabama	"
Unknown, Phishing
"	"
June 8th, 2020
"	https://www.waff.com/2020/06/08/florence-city-computer-systems-hit-by-cyber-attack/	2020
"
South Alabama Veterans Council's website, Mobile County
"	Government	Alabama	"
Hacking, Other: Website Defacement
"	"
January 7th, 2020
"	https://www.fox10tv.com/news/mobile_county/mobile-veteran-s-website-hacked-by-shield-iran/article_62bbb686-3182-11ea-b8d7-0b07c1fd0956.html	2020
"
City of Ozark Website, Dale County
"	Government	Alabama	"
Hacking, Other: Website Defacement
"	"
January 11th, 2020
"	https://www.wtvy.com/wrgx/content/news/Did-those-who-support-Iran-hack-the-city-of-Ozark-website--566910081.html	2020
Mobile Housing Board of Commissioners	Government	Alabama	Phishing, Other	September 19th, 2018	https://lagniappemobile.com/former-mhb-staffer-target-of-485000-email-scam/	2018
Attack on Montgomery County	Government	Alabama	Ransomware	September 18th, 2017	http://www.wsfa.com/story/36402015/ransomware-attack-targets-montgomery-county-government-computer-systems	2017
Mobile County Maersk Terminals	Government	Alabama	Ransomware	June 28th, 2017	http://www.al.com/news/index.ssf/2017/06/mobile_container_terminal_grap.html	2017
Alabama State Port Authority, Mobile County	Government	Alabama	Phishing, Data Breach	March 6th, 2017	https://lagniappemobile.com/port-employees-personal-data-released-cyber-event/	2017
 Northport Medical Center (DCH Health), Tuscaloosa County 	Medical	Alabama	Unknown, Ransomware 	 October 1st, 2019	https://www.cbs42.com/news/local/dch-hospitals-in-tuscaloosa-northport-and-fayette-closed-due-to-ransomware-attack/	2019
 Fayette Medical Center (DCH Health), Fayette County 	Medical	Alabama	Unknown, Ransomware	 October 1st, 2019	https://www.wsfa.com/2019/10/02/dch-hospitals-not-taking-new-patients-unless-they-are-critical-due-ransomware-attack/	2019
" 
UAB Medicine, Jefferson County "	Medical	Alabama	"
Phishing, Data Breach 
"	" 
October 7th, 2019 
"	https://www.al.com/news/birmingham/2019/10/thousands-of-uab-patients-info-seen-by-hackers-in-cyberattack.html	2019
"
Sarrell Dental, Calhoun County
"	Medical	Alabama	"
Unknown, Ransomware
"	"
October 21st, 2019 
"	http://www.spamfighter.com/News-22471-Ransomware-attack-on-Sarrell-Dental-possibly-impacted-391472-patients.htm	2019
" 
DCH Regional Medical Center, Tuscaloosa County
"	Medical	Alabama	"
Hacking, Ransomware
"	" 
October 6th, 2019 
"	https://www.apr.org/post/dch-healthcare-systems-pays-hacker-end-ransomware-attack	2019
Jemison Internal Medicine (JIM)	Medical	Alabama	Ransomware	March 1st, 2018	https://www.databreaches.net/jemison-internal-medicine-discloses-ransomware-event/	2018
Cove Family and Sports Medicine	Medical	Alabama	Ransomware	June 6th, 2017	http://covemedicine.com/files/Krichev_-_Press_Release_Website_Announcement.pdf	2017
"
Madison City Schools, Madison County
"	Education	Alabama	"
Unknown, Ransomware
"	"
May 3rd, 2021
"	https://whnt.com/news/madison/cyberattack-on-madison-city-schools/	2021
"
University of Alabama Huntsville, Madison County
"	Education	Alabama	"
Phishing, Data Breach
"	"
February 18th, 2021
"	https://www.waff.com/2021/02/19/uah-email-accounts-compromised-through-phishing-attempts/	2021
"
Brindlee Mountain Primary School, Marshall County
"	Education	Alabama	"
Phishing, Other
"	"
February 13th, 2021
"	https://whnt.com/news/northeast-alabama/brindlee-mountain-primary-school-warns-parents-students-of-phishing-email/	2021
"
Huntsville City Schools, Madison County
"	Education	Alabama	"
Unknown, Ransomware
"	"
November 21st, 2020
"	https://www.waaytv.com/content/news/Huntsville-City-Schools-Social-Security-numbers-parent-emails-possibly-accessed-during-ransomware-attack-573448751.html	2020
" 
Lanett City Schools, Chambers County
"	Education	Alabama	"
Unknown, Malware 
"	" 
September 20th, 2019 
"	https://www.valleytimes-news.com/2019/09/lanett-city-schools-shut-down-school-server-after-perceived-malware-attack/	2019
" 
Houston County School District, Houston County 
"	Education	Alabama	"
Unknown, Malware 
"	" 
July 25th, 2019 
"	https://www.dothaneagle.com/news/education/server-hack-delays-houston-county-schools-start-date/article_6e28738c-af06-11e9-bbf0-13920c892c35.html	2019
Scottsboro City Schools	Education	Alabama	Phishing	March 5th, 2018	https://localtvwhnt.files.wordpress.com/2018/03/20180305125630793.pdf	2018
Wallace Community College of Selma	Education	Alabama	Phishing	February 24th, 2018	https://www.selmatimesjournal.com/2018/02/24/cyber-criminals-target-wallace-employees/	2018
Montgomery Public Schools	Education	Alabama	Phishing	November 28th, 2017	http://www.montgomeryadvertiser.com/story/news/education/2017/11/28/mps-computers-locked-down-paychecks-system-unaffected/902985001/	2017
Morgan County Schools	Education	Alabama	Phishing	October 5th, 2017	http://whnt.com/2017/10/05/computer-virus-is-impacting-the-network-at-several-morgan-county-schools/	2017
Escambia County School System	Education	Alabama	Hack	April 6th, 2016	https://www.databreaches.net/escambia-county-school-hit-with-payroll-system-security-breach/	2016
City of Valdez & City of Valdez Police, Valdez-Cordova Census Area	Safety	Alaska	Ransomware	July 28th, 2018	https://www.adn.com/alaska-news/2018/07/28/another-local-government-in-alaska-valdez-has-been-knocked-offline-by-a-computer-virus/	2018
" 
Alaska's State Health Department Website Disrupted
"	Government	Alaska	"
Unknown, Malware 
"	" 
May 20th, 2021 
"	https://www.adn.com/alaska-news/2021/05/18/cyberattack-targeting-alaskas-state-health-department-website-disrupts-some-online-services/	2021
" 
Alaska Court System, State of Alaska
"	Government	Alaska	"
Unknown, Malware 
"	" 
May 2nd, 2021 
"	https://www.adn.com/alaska-news/crime-courts/2021/05/01/unidentified-cyberattackers-force-alaska-court-system-to-disconnect-from-internet/	2021
" 
City of Unalaska, Aleutians West Borough 
"	Government	Alaska	"
Phishing, Other 
"	" 
September 5th, 2019 
"	https://www.ktoo.org/2019/09/05/unalaska-recovers-2-3-million-after-phishing-email-scam/	2019
 Ketchikan Port and Harbors Department, Ketchikan Gateway Borough 	Government	Alaska	 Phishing, Other 	 March 1st, 2019 	https://www.660citynews.com/2019/03/01/scammers-steal-20k-from-alaska-city-through-fake-invoice/	2019
Alaska Department of Revenue Website	Government	Alaska	Other, Data Breach	January 1st, 2019 	https://www.ktuu.com/content/news/Data-leak-shuts-down-PFD-application-website-503773571.html	2019
Alaska Dept. of Natural Resources & State of Alaska Government	Government	Alaska	Hacking, Malware	August 16th, 2018 	https://www.recordedfuture.com/chinese-cyberespionage-operations/	2018
Matanuska-Susitna Borough	Government	Alaska	Phishing, Ransomware	July 25th, 2018	https://www.matsugov.us/news/borough-it-works-to-restore-servicess	2018
Division of Public Assistance, State of Alaska	Government	Alaska	Other/Virus	June 28th, 2018	https://www.seattletimes.com/nation-world/apxalaska-health-department-reports-data-breach/	2018
Russian Election Hacking – State of Alaska 	Government	Alaska	Hacking	February 27th, 2018	https://www.vox.com/2018/2/27/17060132/intelligence-russia-hacking-us-elections	2018
Alaska Dept. of Health, Office of Children’s Services	Government	Alaska	Hack/Data Breach	September 2nd, 2017	https://www.databreaches.net/alaska-malware-incident-may-have-compromised-personal-info-held-by-office-of-childrens-services/	2017
"
bty Dental, Anchorage Borough
"	Medical	Alaska	"
Unknown, Ransomware
"	"
 January 9th, 2020
"	https://www.databreaches.net/btydental-notifies-patients-after-ransomware-attack/	2020
Golden Heart Administrative Professionals, Fairbanks North Star Borough	Medical	Alaska	Ransomware	July 20th, 2018	https://www.hipaajournal.com/golden-heart-administrative-professionals-ransomware-attack-impacts-44600-patients/	2018
Southcentral Foundation	Medical	Alaska	Hack	January 5th, 2017	https://healthitsecurity.com/news/southcentral-foundation-cyberattack-affects-14k-in-ak	2017
University of Alaska	Education	Alaska	Hack	February 22nd, 2018	http://www.ktva.com/story/37569951/ua-data-breach-appears-to-target-tax-info	2018
University of Alaska	Education	Alaska	Phishing	May 31st, 2017	http://www.ktuu.com/content/news/University-of-Alaska-thousands-affected-by-data-breach-including-social-security-information-425538543.html	2017
"
Union County Sheriff’s Office, Union County
"	Safety	Arizona	"
Email System
"	"
January 10th, 2020
"	https://www.eldoradonews.com/news/2020/jan/10/ucso-email-hacked-sheriff-advises-ignore-emails-hi/	2020
Surprise PD 911 Services Hacked by 18yr Old Man 	Safety	Arizona	TDoS	October 24th, 2016	https://www.mcso.org/Multimedia/PressRelease/911%20Cyber%20Attack.pdf	2016
"
City of Kingman, Mohave County
"	Government	Arizona	"
Unknown, Malware
"	"
February 28th, 2021
"	https://www.abc15.com/news/region-northern-az/lake-havasu/city-of-kingman-government-computer-system-hit-by-cyberattack	2021
"
City of Douglas, Cochise County
"	Government	Arizona	"
Unknown, Malware
"	"
October 14th, 2019
"	https://www.douglasdispatch.com/news/city-experiences-cyber-attack/article_38992df0-eeb8-11e9-8879-a3cba09d0b6a.html	2019
 Gila County Government Systems, Gila County 	Government	Arizona	Unknown, Ransomware 	 July 12th, 2019 	https://www.paysonroundup.com/news/gila_county/county-experiences-major-interruption-in-technical-service/article_e96e98b2-9d34-5198-b6b2-5515890bdfa7.html	2019
 Gila County Government Systems 	Government	Arizona	Unknown, Ransomware	 July 12th, 2019	https://www.paysonroundup.com/news/gila_county/county-experiences-major-interruption-in-technical-service/article_e96e98b2-9d34-5198-b6b2-5515890bdfa7.html	2019
Town of Sahuarita, Pima County 	Government	Arizona	Phishing, Other	October 28th, 2018	https://www.gvnews.com/news/gvr-town-of-sahuarita-deal-with-email-hacks/article_340d01c4-da34-11e8-840d-370a03d4c831.html	2018
City of Goodyear, Bill Pay System	Government	Arizona	Hacking	May 9th, 2018	http://www.azfamily.com/story/38145606/possible-security-breach-of-goodyears-bill-pay-system-city-says	2018
Russian Election Hacking – State of Arizona 	Government	Arizona	Hacking	February 27th, 2018	https://www.vox.com/2018/2/27/17060132/intelligence-russia-hacking-us-elections	2018
Pinal County Attorney’s Office	Government	Arizona	Ransomware	May 31st, 2016	http://www.12news.com/article/news/local/arizona/ransomware-virus-infects-pcao-case-files/225540620	2016
Arizona Superior Court, Pima Co.	Government	Arizona	Ransomware	February 24th, 2016	https://www.tucsonlocalmedia.com/local_business_news/article_e7c774b4-db73-11e5-8ea9-1f51be31323b.html	2016
"
Ransomware attack wipes out Arizona clinic's EHR, corrupts 35,000 patients' records
, Maricopa & Pinal County
"	Medical	Arizona	"
Hacking, Ransomware
"	"
September 9th, 2021
"	https://www.beckershospitalreview.com/cybersecurity/ransomware-attack-wipes-out-arizona-clinic-s-ehr-corrupts-35-000-patients-records.html	2021
"
Arizona Complete Health, Maricopa County
"	Medical	Arizona	"
Hacking, Data Breach
"	"
March 17th, 2021
"	https://www.databreaches.net/arizona-complete-health-notifies-plan-members-of-accellion-breach/	2021
"
Cochise Eye and Laser, Cochise County
"	Medical	Arizona	"
Unknown, Ransomware
"	"
March 4th, 2021
"	https://www.beckershospitalreview.com/cybersecurity/100-000-patient-records-exposed-some-deleted-in-ransomware-attack-on-arizona-clinic.html	2021
"
GenRx Pharmacy, Maricopa County
"	Medical	Arizona	"
Unknown, Ransomware
"	"
January 4th, 2020
"	https://latesthackingnews.com/2021/01/04/genrx-pharmacy-ransomware-attack-resulted-in-data-breach/	2020
"
Assured Imaging, Pima County
"	Medical	Arizona	"
Unknown, Ransomware
"	"
September 8th, 2020
"	https://healthitsecurity.com/news/assured-imaging-ransomware-causes-data-theft-affecting-245k-patients?eid=CXTEL000000458511&elqCampaignId=15874&utm_source=nl&utm_medium=email&utm_campaign=newsletter&elqTrackId=52da11140e7a4fdda0a972872daaad55&elq=4ed5bae2a69845eab28b5450454e9a3c&elqaid=16643&elqat=1&elqCampaignId=15874	2020
"
Magellan Health Inc., Maricopa County
"	Medical	Arizona	"
Phishing, Ransomware
"	"
May 12th, 2020
"	https://www.bleepingcomputer.com/news/security/healthcare-giant-magellan-health-hit-by-ransomware-attack/	2020
" 
Delta Dental of Arizona, Maricopa County 
"	Medical	Arizona	"
Phishing, Data Breach 
"	" 
November 10th, 2019 
"	https://www.databreaches.net/dental-delta-of-arizona-discloses-phishing-attack-possibly-compromising-pii-and-phi/	2019
"
Conway Regional Medical Center, Faulkner County
"	Medical	Arizona	"
Phishing, Data Breach
"	"
September 5th, 2019
"	https://www.hipaajournal.com/multiple-email-accounts-compromised-in-uc-health-phishing-attack/	2019
"
Maffi Clinic, Maricopa County 
"	Medical	Arizona	"
Unknown, Ransomware
"	"
March 12th, 2018 
"	https://www.databreaches.net/maffi-clinic-notifies-10465-after-ransomware-incident/	2018
Terros Health, Maricopa Co.	Medical	Arizona	Phishing	June 8th, 2018	http://kjzz.org/content/648316/phoenix-terros-health-reports-major-data-breach-1600-patients-affected	2018
Desert Care Family & Sports Medicine	Medical	Arizona	Ransomware	December 28th, 2016	https://www.databreaches.net/family-sports-medicine-center-patient-records-remain-inaccessible-three-months-after-ransomware-attack/	2016
Maricopa Community Colleges, Maricopa County	Education	Arizona	Hacking, Malware	March 20th, 2021	https://ktar.com/story/4197145/maricopa-community-colleges-cancel-classes-amid-cybersecurity-issue/	2021
Tuscon Unified School District	Education	Arizona	Hack	November 6th, 2017	http://www.tucsonnewsnow.com/story/36777331/tusd-among-800-websites-hacked-over-the-weekend	2017
Employees of Washington Elementary School District	Education	Arizona	Phishing	April 12th, 2016	http://www.azfamily.com/story/31738609/wesd-employees-w-2-information-compromised-in-phishing-scheme	2016
"
El Dorado Police Department, Union County
"	Safety	Arkansas	"
Unknown, Ransomware
"	"
July 2nd, 2020
"	https://www.eldoradonews.com/news/2020/jul/02/epd-hit-virus-back-online-now/	2020
Fulton County Sheriff's Office	Safety	Arkansas	Hack	May 16th, 2018	http://www.areawidenews.com/story/2513134.html	2018
Johnson County Sheriff's Department	Safety	Arkansas	Ransomware	February 21st, 2018	http://www.4029tv.com/article/hacker-holds-johnson-co-sheriff-dept-computers-ransom/18631688	2018
