Year	Percent	Indicator
2007	0.155	Hires (Post-Reform)
2008	0.159	Hires (Post-Reform)
2009	0.107	Hires (Post-Reform)
2010	0.122	Hires (Post-Reform)
2011	0.115	Hires (Post-Reform)
2012	0.116	Hires (Post-Reform)
2013	0.123	Hires (Post-Reform)
2014	0.115	Hires (Post-Reform)
2015	0.13	Hires (Post-Reform)
2005	0.083	Hires (Pre-Reform)
2005	0.078	Hires (Pre-Reform)
2006	0.074	Hires (Pre-Reform)
2007	0.069	Hires (Pre-Reform)
2008	0.053	Hires (Pre-Reform)
2009	0.057	Hires (Pre-Reform)
2010	0.07	Hires (Pre-Reform)
2011	0.071	Hires (Pre-Reform)
2012	0.072	Hires (Pre-Reform)
2013	0.077	Hires (Pre-Reform)
2014	0.089	Hires (Pre-Reform)
2015	0.08	Hires (Pre-Reform)
2005	0.083	Separations (Average)
2005	0.076	Separations (Average)
2006	0.084	Separations (Average)
2007	0.087	Separations (Average)
2008	0.073	Separations (Average)
2009	0.07	Separations (Average)
2010	0.09	Separations (Average)
2011	0.091	Separations (Average)
2012	0.093	Separations (Average)
2013	0.101	Separations (Average)
2014	0.103	Separations (Average)
2015	0.109	Separations (Average)
